year	author	title	id	lang
1848	Gaskell, Elizabeth Cleghorn (1810-1865)	Mary Barton: A Tale of Manchester Life : ELTeC edition	ENG18482_Gaskell	en
1849	Skene, Felicia (1821-1899)	The Inheritance of Evil : ELTeC edition	ENG18490_Skene	en
1850	Ainsworth, William Harrison (1805-1822)	Auriol, or The elixir of life : ELTeC edition	ENG18500_Ainsworth	en
1851	Kingsley, Charles (1819-1875)	Yeast: A Problem : ELTeC edition	ENG18510_Kingsley	en
1853	Dickens, Charles (1812-1870)	Bleak House : ELTeC edition	ENG18530_Dickens	en
1853	Yonge, Charlotte Mary (1823-1901)	The Heir of Redclyffe : ELTeC edition	ENG18531_Yonge	en
1854	Dickens, Charles (1812-1870)	Hard Times: For These Times : ELTeC edition	ENG18540_Dickens	en
1856	Kavanagh, Julia (1824-1877).	Rachel Gray : ELTec edition : ELTeC edition	ENG18552_Kavanagh	en
1856	Yonge, Charlotte Mary (1823-1901)	The Daisy Chain : ELTeC edition	ENG18560_Yonge	en
1857	Brontë, Charlotte (1816-1855).	The Professor: A Tale : ELTec edition : ELTeC edition	ENG18570_Bronte	en
1860	Clive, Caroline Wigley (1801-1873)	Why Paul Ferroll Killed His Wife : ELTeC edition	ENG18600_Clive	en
1863	Reade, Charles (1814-1884).	Hard Cash. A matter of fact romance : ELTec edition : ELTeC edition	ENG18632_Reade	en
1864	Blackmore, Richard Doddridge (1825-1900)	Clara Vaughan : ELTeC edition	ENG18640_Blackmore	en
1864	"Stretton, Hesba [pseud Sara Smith]
                         (1832-1911)."	Fern's Hollow : ELTec edition : ELTeC edition	ENG18641_Stretton	en
1865	Trollope, Anthony (1815-1882)	Can You Forgive Her? : ELTeC edition	ENG18650_Trollope	en
1865	Yonge, Charlotte Mary (1823-1901)	The Clever Woman of the Family : ELTeC edition	ENG18651_Yonge	en
1865	Carroll, Lewis [pseud.] (1832-1898).	Alice's Adventures in Wonderland : ELTeC edition	ENG18652_Carroll	en
1866	Eliot, George [pseud.] (1819-1880)	Felix Holt, the Radical : ELTeC edition	ENG18660_Eliot	en
1866	Oliphant, Margaret (1828–1897)	Miss Marjoribanks : ELTec edition : ELTeC edition	ENG18661_Oliphant	en
1867	Ouida, [pseud.] (1839-1908)	Under Two Flags: A Story of the Household and the Desert : ELTeC edition	ENG18670_Ouida	en
1870	Oliphant, Laurence (1829-1888)	Piccadilly : ELTeC edition	ENG18700_Oliphant	en
1871	Jenkins, John Edward (1838-1910).	Ginx's Baby: His Birth and Other Misfortunes : ELTec edition : ELTeC edition	ENG18702_Jenkins	en
1872	Linton, Elizabeth Lynn (1822-1898)	The True History of Joshua Davidson : ELTeC edition	ENG18720_Lynn	en
1872	Eliot, George [pseud.] (1819-1880)	Middlemarch: ELTeC edition 	ENG18721_Eliot	en
1874	Lytton, Edward Bulwer (1803-1873)	The Parisians : ELTeC edition	ENG18741_Bulwer	en
1874	Trollope, Anthony (1815-1882)	Harry Heathcote of Gangoil : ELTec edition : ELTeC edition	ENG18742_Trollope	en
1876	Collins, Wilkie (1824-1889)	The Two Destinies: A Romance : ELTeC edition	ENG18760_Collins	en
1877	Mallock, William Hurrell (1849-1923)	The New Republic : ELTeC edition	ENG18770_Mallock	en
1882	Anstey, F. [pseud.] (1856-1934)	Vice Versa: or, A Lesson to Fathers : ELTeC edition	ENG18820_Anstey	en
1883	Broughton, Rhoda (1840-1920)	Belinda: A Novel : ELTeC edition	ENG18830_Broughton	en
1883	Ouida, [pseud.] (1839-1908)	Folle-Farine : ELTeC edition	ENG18831_Ouida	en
1884	Lee, Vernon (1856-1935)	Miss Brown : ELTeC edition	ENG18840_Lee	en
1885	White, William Hale (1831-1913).	Mark Rutherford's Deliverance : ELTec edition : ELTeC edition	ENG18850_Rutherford	en
1886	Hardy, Thomas (1840-1928).	"The Mayor of Casterbridge: The Life and Death of a Man of Character : ELTeC
     edition"	ENG18860_Hardy	en
1887	Barry, William Francis (1849-1930)	The New Antigone: A Romance : ELTeC edition	ENG18870_Barry	en
1887	Broughton, Rhoda (1840-1920)	Red as a rose is she : ELTeC edition	ENG18871_Broughton	en
1887	Lyall, Edna [pseud.] (1857-1903).	The Autobiography of a Slander : ELTeC edition	ENG18872_Lyall	en
1888	Ward, Humphry, Mrs. (1851-1920)	Robert Elsmere : ELTec edition : ELTeC edition	ENG18880_Ward	en
1889	Nesbit, Edith (1858-1924)	The Prophet's Mantle : ELTeC edition	ENG18890_Nesbit	en
1890	Broughton, Rhoda (1840-1920)	Alas! A Novel : ELTeC edition	ENG18901_Broughton	en
1891	Yeats, William Butler (1865–1939)	John Sherman and Dhoya : ELTeC edition	ENG18910_Yeats	en
1891	Gissing, George (1857-1903).	New Grub Street: A Novel : ELTeC edition	ENG18911_Gissing	en
1892	Grossmith, George (1847-1912)	The diary of a nobody : ELTeC edition	ENG18920_Grossmith	en
1893	Benson, Edward Frederic (1867-1940).	Dodo: A Detail of the Day : ELTeC edition	ENG18930_Benson	en
1893	Harraden, Beatrice (1864-1936).	Ships that Pass in the Night : ELTec edition : ELTeC edition	ENG18931_Harraden	en
1894	Dixon, Ella Hepworth (1855-1932)	The Story of a Modern Woman : ELTeC edition	ENG18940_Dixon	en
1894	Caird, Mona (1854-1932)	The Daughters of Danaus : ELTeC edition	ENG18941_Caird	en
1895	Cross, Victoria (1868-1952)	The Woman Who Didn't : ELTeC edition	ENG18950_Cross	en
1895	Ward, Humphry, Mrs. (1851-1920)	The Story of Bessie Costrell : ELTeC edition	ENG18951_Ward	en
1895	Wells, Herbert George (1866-1946)	The Time Machine: An Invention : ELTeC edition	ENG18952_Wells	en
1895	MacDonald, George (1824-1905).	Lilith; A Romance : ELTec edition : ELTeC edition	ENG18953_Macdonald	en
1895	Sharp, Evelyn (1869-1955)	At the Relton Arms : ELTec edition : ELTeC edition	ENG18954_Sharp	en
1896	Malet, Lucas (1852-1931)	The Carissima : ELTeC edition	ENG18960_Malet	en
1897	Phillpotts, Eden (1862-1960)	Lying Prophets: ELTeC edition	ENG18970_Phillpots	en
1897	Cholmondeley, Mary (1859-1925).	A Devotee: An Episode in the Life of a Butterfly : ELTec edition : ELTeC edition	ENG18973_Cholmondeley	en
1898	Baring-Gould, Sabine (1834-1924)	Domitia : ELTeC edition	ENG18980_BaringGould	en
1900	Glyn, Elinor (1864-1943).	The Visits of Elizabeth : ELTeC edition	ENG19001_Glyn	en
1900	Fowler, Ellen Thorneycroft (1860-1929).	The Farringdons : ELTeC edition	ENG19004_Fowler	en
1900	Steel, Flora Annie (1847-1929).	The Hosts of the Lord : ELTeC edition	ENG19005_Steel	en
1901	Mason, Alfred Edward Woodley (1865-1948)	Clementina : ELTeC edition	ENG19010_Mason	en
1901	Jerome, Jerome K. (1859-1927)	The Observations of Henry : ELTec edition : ELTeC edition	ENG19011_Jerome	en
1902	Nesbit, Edith (1858-1924)	The Red House : ELTeC edition	ENG19020_Nesbit	en
1906	Nesbit, Edith (1858-1924)	The Story of the Amulet : ELTeC edition	ENG19060_Nesbit	en
1907	Machen, Arthur (1867-1947)	The Hill of Dreams: ELTeC edition	ENG19070_Machen	en
1907	Silberrad, Una Lucy (1872-1955). 	The good comrade : ELTeC edition	ENG19071_Silberrad	en
1908	Chesterton, Gilbert Keith (1874-1936)	The man who was Thursday : ELTeC edition	ENG19080_Chesterton	en
1909	Wells, Herbert George (1866-1946)	Tono-bungay: ELTeC edition	ENG19090_Wells	en
1909	Ward, Humphry, Mrs. (1851-1920)	Daphne, or Marriage a la Mode : ELTeC edition	ENG19091_Ward	en
1910	Forster, Edward Morgan (1879-1970)	Howards End : ELTeC edition	ENG19100_Forster	en
1911	Hornung, Ernest William (1866-1921)	The Camera Fiend : ELTeC edition	ENG19111_Hornung	en
1912	Wells, Herbert George (1866-1946)	Marriage : ELTeC edition	ENG19120_Wells	en
1912	Belloc-Lowndes, Marie (1868-1947)	The Chink in the Armour : ELTec edition : ELTeC edition	ENG19121_Belloc	en
1917	Conrad, Joseph (1857-1924)	The shadow-line: ELTec edition : ELTeC edition	ENG19170_Conrad	en
1918	Lewis, Percy Wyndham (1882-1957)	Tarr : ELTeC edition	ENG19180_Lewis	en
1918	West, Rebecca [pseud. Cicily Isabel Fairfield] (1892-1983)	The Return of the Soldier : ELTec edition : ELTeC edition	ENG19181_West	en
1919	Benson, Stella (1892-1933)	Living Alone : ELTeC edition	ENG19190_Benson	en
1919	Hamilton, Cicely (1872-1952)	William — an Englishman: ELTeC edition	ENG19191_Hamilton	en
1919	Woolf, Virginia (1882-1941)	Night and day: ELTeC edition	ENG19192_Woolf	en
1919	Arlen, Michael [pseud.] (1857-1924)	The London venture : ELTeC edition	ENG19201_Arlen	en
1845	Disraeli, Benjamin (1804-1881)	Sybil, Or the Two Nations : ELTeC edition	ENG18450_Disraeli	en
1848	Dickens, Charles (1812-1870)	Dombey and Son : ELTeC edition	ENG18481_Dickens	en
1855	Trollope, Anthony (1815-1882)	The Warden : ELTeC edition	ENG18551_Trollope	en
1861	Eliot, George [pseud.] (1819-1880)	Silas Marner: The Weaver of Raveloe : ELTeC edition	ENG18610_Eliot	en
1862	Braddon, Mary Elizabeth (1835-1915).	Lady Audley's Secret : ELTeC edition	ENG18621_Braddon	en
1862	Craik, Dinah Marie (1826-1887)	Mistress and Maid : ELTeC edition	ENG18630_Craik	en
1874	Ouida, [pseud.] (1839-1908)	Two Little Wooden Shoes: A Sketch : ELTeC edition	ENG18740_Ouida	en
1880	Disraeli, Benjamin (1804-1881)	Endymion : ELTeC edition	ENG18800_Disraeli	en
1890	Doyle, Arthur Conan (1678-1799)	The Sign of Four : ELTeC edition	ENG18900_Doyle	en
1896	Griffiths, Major Arthur George Frederick (1838-1908).	The Rome Express : ELTeC edition	ENG18961_Griffiths	en
1897	Morris, William (1834-1896)	The water of the wondrous isles: ELTeC edition	ENG18972_Morris	en
1915	Buchan, John (1875-1940)	The Thirty-nine Steps: ELTeC edition	ENG19150_Buchan	en
1920	Lawrence, David Herbert (1885-1930)	Women in love : ELTeC edition	ENG19200_Lawrence	en
1860	Adam, Juliette (1836-1936)	Mon Village : édition ELTeC	FRA00101_Adam	fra
1883	Adam, Juliette (1836-1936)	Païenne : édition ELTeC	FRA00102_Adam	fra
1910	Audoux, Marguerite (1863-1937)	Marie-Claire : édition ELTeC	FRA00201_Audoux	fra
1858	Aimard, Gustave (1818-1883)	Les Trappeurs de l'Arkansas : édition ELTeC	FRA00301_Aimard	fra
1894	Aimard, Gustave (1818-1883)	Belle rivière : édition ELTeC	FRA00302_Aimard	fra
1902	Allais, Alphonse (1829-1871)	Le Captain Cap : édition ELTeC	FRA00401_Allais	fra
1853	Balzac, Honoré de (1799-1850)	Albert Savarus : édition ELTeC	FRA00501_Balzac	fra
1851	Balzac, Honoré de (1799-1850)	Le cousin Pons : édition ELTeC	FRA00502_Balzac	fra
1854	Balzac, Honoré de (1799-1850)	Le curé de village : édition ELTeC	FRA00503_Balzac	fra
1881	Boisgobey, Fortuné du (1821-1891)	Le crime de l'omnibus : édition ELTeC	FRA00601_Boisgobey	fra
1886	Boisgobey, Fortuné du (1821-1891)	Rubis sur l'ongle : édition ELTeC	FRA00602_Boisgobey	fra
1852	Carraud, Zulma (1796-1889)	La petite Jeanne : édition ELTeC	FRA00701_Carraud	fra
1843	Dash, Comtesse [Gabrielle Anna de Cisternes de Courtiras, vicomtesse de Saint-Mars] (1804-1872)	Le château de Pinon I : édition ELTeC	FRA00801_Dash	fra
1868	Daudet, Alphonse (1840-1897)	Le petit chose : édition ELTeC	FRA00901_Daudet	fra
1919	Delarue-Mardrus, Lucie (1874-1945)	Toutoune et son amour : édition ELTeC	FRA01002_DelarueMardrus	fra
1890	Dombre, Roger [Marguerite Sisson / Marguerite Ligeron] (1859-1914)	Une pupille gênante : édition ELTeC	FRA01101_Dombre	fra
1889	Dombre, Roger [Marguerite Sisson / Marguerite Ligeron] (1859-1914)	Folla : édition ELTeC	FRA01102_Dombre	fra
1868	Féval, Paul Henri Corentin [dit Paul Féval père] (1816-1887)	Le Cavalier Fortune : édition ELTeC	FRA01201_Feval	fra
1857	Féval, Paul Henri Corentin [dit Paul Féval père] (1816-1887)	Les Errants de nuit : édition ELTeC	FRA01202_Feval	fra
1845	Féval, Paul Henri Corentin [dit Paul Féval père] (1816-1887)	le Loup blanc : édition ELTeC	FRA01203_Feval	fra
1869	Flaubert, Gustave (1821-1880)	L'Éducation sentimentale : édition ELTeC	FRA01301_Flaubert	fra
1857	Flaubert, Gustave (1821-1880)	Madame Bovary : édition ELTeC	FRA01302_Flaubert	fra
1862	Flaubert, Gustave (1821-1880)	Salammbô : édition ELTeC	FRA01303_Flaubert	fra
1877	Fleuriot, Zénaïde (1829-1890)	Un enfant gâté : édition ELTeC	FRA01401_Fleuriot	fra
1874	Fleuriot, Zénaïde (1829-1890)	En congé : édition ELTeC	FRA01402_Fleuriot	fra
1881	Fleuriot, Zénaïde (1829-1890)	Alberte : édition ELTeC	FRA01403_Fleuriot	fra
1912	France, Anatole (1844-1924)	Les dieux ont soif: édition ELTeC	FRA01501_France	fra
1887	Gautier, Judith (1845-1917)	La Sœur du Soleil : édition ELTeC	FRA01601_GautierJ	fra
1893	Gautier, Judith (1845-1917)	Fleurs d'Orient : édition ELTeC	FRA01602_GautierJ	fra
1900	Gautier, Judith (1845-1917)	Les Princesses d'Amour : courtisanes japonaises : édition ELTeC	FRA01603_GautierJ	fra
1847	Gautier, Théophile (1800-1872)	Militona : édition ELTeC	FRA01701_GautierT	fra
1844	Gay, Marie Françoise Sophie (1776-1852)	Ellenore : édition ELTeC	FRA01801_Gay	fra
1869	Gaboriau, Émile (1832-1873)	Monsieur Lecoq : édition ELTeC	FRA01902_Gaboriau	fra
1912	Gilbert, Jehan (1880-1940)	Vers le pôle en aéroplane : édition ELTeC	FRA02001_Gilbert	fra
1854	Girardin, Delphine de [Delphine Gay] (1804-1855)	Marguerite, ou Deux amours : édition ELTeC	FRA02101_Girardin	fra
1888	Gouraud, Julie [Louise d'Aulnay] (1810-1891)	Quand je serai grande : édition ELTeC	FRA02201_Gouraud	fra
1867	Gouraud, Julie [Louise d'Aulnay] (1810-1891)	Le petit colporteur : édition ELTeC	FRA02202_Gouraud	fra
1876	Gouraud, Julie [Louise d'Aulnay] (1810-1891)	Les Filles du professeur : édition ELTeC	FRA02203_Gouraud	fra
1888	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand] (1842-1902)	La seconde mère : édition ELTeC	FRA02301_Greville	fra
1878	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand] (1842-1902)	L'amie : édition ELTeC	FRA02302_Greville	fra
1878	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand] (1842-1902)	Ariadne : édition ELTeC	FRA02303_Greville	fra
1904	Le Rouge, Gustave (1867-1938)	L'Esclave amoureuse : édition ELTeC	FRA02401_LeRouge	fra
1883	Loti, Pierre (1850-1923)	Mon frère Yves : édition ELTeC	FRA02501_Loti	fra
1869	Malot, Hector (1830-1907)	Romain Kalbris : édition ELTeC	FRA02601_Malot	fra
1878	Malot, Hector (1830-1907)	Sans famille : édition ELTeC	FRA02602_Malot	fra
1888	Malot, Hector (1830-1907)	Conscience : édition ELTeC	FRA02603_Malot	fra
1885	Maupassant, Guy de (1850-1893)	Bel-Ami : édition ELTeC	FRA02701_Maupassant	fra
1883	Maupassant, Guy de (1850-1893)	Une Vie : édition ELTeC	FRA02702_Maupassant	fra
1883	Mirbeau, Octave (1848-1917)	La Maréchale : édition ELTeC	FRA02802_Mirbeau	fra
1903	Noailles, Anna de (1876-1933)	La nouvelle espérance : édition ELTeC	FRA02901_Noailles	fra
1885	Ohnet, Georges (1848-1918)	La Grande Marnière : édition ELTeC	FRA03001_Ohnet	fra
1890	Ohnet, Georges (1848-1918)	L'Âme de Pierre : édition ELTeC	FRA03002_Ohnet	fra
1894	Ohnet, Georges (1848-1918)	Le Marchand de Poison : édition ELTeC	FRA03003_Ohnet	fra
1852	Ponson du Terrail, Pierre Alexis (1829-1871)	La baronne trépassée : édition ELTeC	FRA03101_Ponson	fra
1887	Blandy, Stella (1836-1925)	Rouzétou : édition ELTeC	FRA03201_Blandy	fra
NA	Rattazzi, Marie [Marie-Lætitia Bonaparte-Wyse] (1831-1902)	Le piège aux maris : édition ELTeC	FRA03302_Rattazzi	fra
1855	Reybaud, Fanny [Hippolyte Arnaud] (1802-1871)	Mademoiselle de Malepeire : édition ELTeC	FRA03401_Reybaud	fra
1913	Proust, Marcel (1871-1922)	Du côté de chez Swann : édition ELTeC	FRA03601_Proust	fra
1872	Sand, George [Amantine Lucile Aurore Dupin] (1804-1876)	Nanon : édition ELTeC	FRA03701_Sand	fra
