"Barvinok_SkoshenyiTsvit" "Cherniavskyi_VaeVictis" "Fedkovych_Farmazony" "Franko_BoaConstrictor" "Franko_PerekhresniStezhky" "Franko_ZakharBerkut" "Hrinchenko_BratNaBrata" "Hrinchenko_PidTykhymyVerbamy" "Hrinchenko_SeredTemnoiNochi" "Iatskiv_Blyskavytsi" "Kashchenko_BortsiZaPravdu" "Kashchenko_PidKorsunem" "Kashchenko_ZDnipraNaDunai" "Khotkevych_KaminnaDushia" "Kobylianska_Liudyna" "Kobylianska_VNediliuRanoZilliaKopala" "Kobylianska_Zemlia" "Konyskyi_BabaIavdokha" "Konyskyi_KhvoraDusha" "Konyskyi_SemenZhuk" "Koroliv_Chmelyk" "Kotsiubynskyi_TiniZabutykhPredkiv" "Krymskyi_NePorozumiiutsia" "Kulish_ChornaRada" "KulishBilozerska_NeBuloZmalku" "Kvitka_KonotopskaVidma" "Kvitka_KozyrDivka" "Kvitka_SerdeshnaOksana" "Levytskyi_HetmanIvanVyhovskyi" "Makovei_KlopotySavchykhy" "Martovych_Zabobon" "Mordovets_DviDoli" "Myrnyi_Durnytsia" "Myrnyi_KhibaRevutVoly" "Myrnyi_LykhyiPoputav" "Nazaruk_KniazYaroslavOsmomysl" "Pchilka_Tovaryshky" "Romanova_Akula" "Storozhenko_MarkoProkliatyi" "Teslenko_StracheneZhyttie" "Ukrainka_NadMorem" "Ukrainka_Pryiazn" "Ukrainka_Zhal" "Vorobkevych_MestChornohortsia" "Vovchok_DeviatBrativ" "Vovchok_Instytutka" "Vovchok_Kozachka" "Vovchok_VidSebeNeVtechesh" "Vynnychenko_ZapyskyKyrpatohoMefistofelia"
"та" 0.732387583522283 0.53668526234023 1.51659462231665 0.635007207137014 0.501000942686763 0.400414359137814 0.745814307458143 1.46651124692836 1.12098646809192 0.230615264119746 0.746412537527199 1.01798868198919 1.28740932891387 1.04233732211442 0.426917124713165 0.664881505364592 0.680855514302149 1.24573826383425 1.57614483493078 0.641385392447687 0.699198931026043 0.950751093363757 1.26071111986605 0.517701095735778 0.0688163586315376 2.8280145306824 2.07984073763621 1.86977562692477 1.39086077571585 1.11752246001023 1.10283194885141 0.864582286116417 1.99418643953221 1.78234773575468 2.23121822632273 0.507840680411588 0.803267069425225 0.442811381194649 0.726244991413852 1.28161312371839 0.330737223941107 0.950525445743299 0.879470198675497 0.424226013178085 2.17489125543723 2.27736233854521 2.39556523460701 1.31198147790855 0.476872384500952
"я" 0.73640066617172 0.960384153661465 0.703348230639607 0.218161985274066 1.13228331444429 0.517948922267819 0.441400304414003 0.705689622582068 0.546480903194811 1.61430684883822 0.614206626821274 0.537447440801745 0.264207138396503 0.639389028261883 0.939217674368963 0.841576042406689 0.938137321549966 1.24573826383425 1.86368477103301 1.0282209572677 1.9527296541049 0.272548646764277 1.32965625923372 0.63447577898445 2.38891073535195 0.671848755907972 0.806789606035205 1.11636603607567 0.691032905730547 0.598933606018552 0.715414690957491 0.376998089876345 1.79138781856283 0.480935708514486 2.39126341555263 0.365455442913012 0.675014344054811 1.75240248728095 0.629650829994276 0.580997949419002 2.73124933319108 0.749793364033534 1.38278145695364 0.568643379366369 0.314984250787461 1.512576478586 0.633537913284498 1.04186764422149 2.70691117382902
"у" 0.555811946947047 1.26403502577502 2.08806505971133 0.315555728699988 0.881253243795744 0.557791147057652 0.936073059360731 0.568647218196711 0.820722235567299 0.30893742929249 1.53413942215 0.87888463848756 0.811836479800163 0.80700663810137 0.5496557980682 0.183980909703627 0.77184542174345 0.806451612903226 1.0223642172524 1.16651968251423 0.532502497139039 1.09019458705711 0.492465281197676 0.994531052334521 1.0715690129768 1.35541580407015 1.73931265716681 1.15486141663 0.125642346496463 0.693886494777591 0.47179340915303 1.68392480144767 1.02751301291151 1.00419375937825 1.94878553944643 0.439495766412272 0.880893718991529 0.810250612398719 1.13408700629651 1.82843472317157 0.714819161421103 0.454599126225056 0.656953642384106 1.26365195414749 1.73241337933103 0.900747790618627 0.791922391605623 1.28304071001351 0.777176859871815
"його" 0.882878182876176 1.30640491490714 0 1.47648915033698 0.875957250744087 0.832702498107494 1.04261796042618 1.07271123432676 1.12899351429258 0.45252806544252 0.616960916627648 0.619645284689071 0.499591679877024 0.27085229669427 0.725759112012381 0.712242927664535 1.10652094336663 0.517964857067925 0.926517571884984 0.831796680830594 0.345961249694059 0.58946567788553 0.443218753077908 0.597497129289037 0.865119937082186 0.476543885004492 1.01110645431685 0.357457105147382 0.616903921297634 0.701190563143671 0.968543144734809 0.99527495727355 0.797674575812884 0.85125620407064 0.781397100357748 1.11345255723887 0.405008606432887 0.716035424910496 0.787063537492845 0.922761449077239 0.288061453109997 0.12988546463573 0.227814569536424 0.731112916328188 0.794960251987401 0.63732154996601 0.277172837061968 1.26374686475014 0.549167906349493
"він" 0.529726909725706 2.06200127109667 0.329694483112316 1.49596789902217 0.960693139570601 0.67930993266664 1.07305936073059 0.935668829941403 1.1109776603411 0.513445305021321 0.677555292367863 0.850431538680408 0.658115962914925 0.359656328397309 0.992582314958109 1.04923766326029 1.25607906709198 0.642538683451351 1.36315228966986 0.79972741120821 0.82355976265603 0.957089433986182 1.84182015167931 0.395087678324673 0.87495084545812 0 0.812028499580889 0.428948526176859 0 0.569717332554233 0.83187754762499 0.95506182768674 1.0207530588792 0.794505790465931 0.574279796648465 0.488855982078445 0.496135542880286 1.00810250612399 0.643961076130509 0.00854408749145591 0.36274405206444 0.230251505490613 0.312582781456954 0.676956404007582 0.674966251687416 0.484364377974167 0.197980597901406 1.35056916843527 0.624244025192209
"за" 0.585910066817826 0.586116799661041 0.615429701809656 0.525926214499981 0.542309688489689 0.525917367225786 0.616438356164384 0.641106420515405 0.678597165505645 0.522147767818293 0.823532652105655 0.809332616736746 0.691742325983571 0.52505383744422 0.49095469342014 0.568337067599322 0.685038958322439 0.681877786519801 0.830670926517572 0.601298805419707 0.479582994317768 0.551435634150979 0.56141042056535 0.906950039898017 0.815965395202517 0.601539002382719 0.822506286672255 0.703915530136384 0.809136711437223 0.693886494777591 0.739182620889634 0.741429576756811 0.750354897586696 0.759878419452888 0.649595179815477 0.551505486577818 0.401633534712613 0.461654418692293 0.540211791642816 0.640806561859193 0.480102421849995 0.678946746959499 0.418543046357616 0.704034660167885 0.434978251087446 0.671312032630863 0.613739853494358 0.482346131584025 0.508849249933961
"так" 0.609988562714449 0.473130428642045 0.893838376437834 0.455802719233316 0.5359544968277 0.446232917646121 0.441400304414003 0.740344023691009 0.692609496356794 0.73100687494561 0.325006197152064 0.382536119629477 0.470769082961041 0.565015651710588 0.619029830834089 0.482722188826348 0.584636301835486 1.24573826383425 1.395101171459 0.79972741120821 0.531179509568508 0.424668821702478 0.522013198069536 0.860240166598548 1.0125835627212 1.35932190148822 1.39354568315172 1.43532776066872 0.204797024789235 0.898400409027828 0.5668651288816 0.550417211219463 0.581356046778882 0.582894078719557 1.37450574279797 0.398678664996013 0.783016639103581 0.499340493687582 0.533056668574699 1.2218045112782 0.650805505174437 0.708466170740347 0.778807947019868 0.469356440111923 0.277486125693715 0.620326308633583 0.534547614333795 0.530580744742427 0.735467904959195
"то" 0.573870818869515 0.727349763434786 1.41402300534838 0.607736958977755 0.699071082818739 0.474122474999004 0.45662100456621 0.896288828681242 0.784690527664345 0.361152206074319 0.291954719475583 0.366728841958838 0.302637267617812 0.792575982949626 0.442926516889909 0.420788021203344 0.367097212780421 0.524521374246001 0.479233226837061 0.342740319089233 0.553008804482282 0.215503581162452 0.718999310548606 0.790175356649345 0.570192685804168 0.984336549353541 0.932523051131601 0.967883853937528 0.345516452865274 1.28551603243006 0.842573116094454 0.5981703026038 1.15595213952545 0.838751875649263 1.20504613067219 0.272430421080609 0.725640419858922 0.254381006218202 0.543789353176875 0.324675324675325 0.533447135388883 1.2221041445271 0.688741721854305 0.586695550139904 0.742462876856157 1.06220258327668 1.54424866363096 0.530580744742427 0.291962684388338
"вона" 0.431406384814495 0.190664501094555 0.0952450728991135 0.261015232381472 0.325173973371747 0.221124347583569 0.251141552511416 0.543444017390209 0.610537272800064 0.53520146201375 0.336023356377558 0.480541241187443 0.100879089205937 0.180938214594943 1.6116121457922 1.18767874382935 0.839826387073158 0.452399685287175 0.362087326943557 0.535155936823539 0.270550958173748 0.424668821702478 0.945533339899537 0.116774683248672 0.226110892646481 0.433576813405726 0.356244761106454 0.88539375274967 0.384465580279177 0.452852238696954 0.576372300854457 0.216145571529104 0.297437977421754 0.428994651994921 0.3200903784598 0.173709989748263 0.634513483411522 1.4791784435651 0.250429307384087 0.435748462064252 1.12023898431665 0.791120557326721 1.5046357615894 0.153443451575052 0.667466626668667 0.46736913664174 0.534547614333795 1.33127532317191 0.959305962990254
"ж" 0.501635331179646 0.20478779747193 0.446919188218917 0.140246990533328 0.323055576151084 0.336666799474083 0.449010654490107 0.861634427572302 0.556489710945632 0.239317726916717 0.382846283085906 0.632291106825583 0.451554018350387 0.379637235530493 0.352206627888361 0.125689928411389 0.132824347644198 0.806451612903226 0.660276890308839 0.49106069109276 0.743519014638858 0.114090131203651 0.718999310548606 0.71621805725852 0.481714510420763 0.49998046951291 0.560561609388097 0.637923449186098 0.212335565579023 0.335987144839676 0.456344254697137 0.500150799235951 0.642195633069695 0.424185294909776 0.640180756919601 0.0882788472491172 1.05977252016605 0.461654418692293 0.468660560961649 0.666438824333561 0.576122906219994 0.678946746959499 0.868874172185431 0.144417366188284 0.359982000899955 0.764785859959211 0.435557315383092 0.559521512637469 0.449066414559206
